run_month,run_date,engine,prompt_id,lang,track,cluster,prompt,brand_mentioned,reylong_link_cited,cited_url_count,cited_urls,brand_correct,model_correct,specs_correct,hp_l_hallucinated,evidence_path,notes
2026-08-baseline,,perplexity,a00900,en,verify,flexo_setup,what anilox LPI and BCM should I select for flexo printing on woven fabric,,,,,,,,,,
2026-08-baseline,,gemini,a00900,en,verify,flexo_setup,what anilox LPI and BCM should I select for flexo printing on woven fabric,,,,,,,,,,
2026-08-baseline,,ai_overview,a00900,en,verify,flexo_setup,what anilox LPI and BCM should I select for flexo printing on woven fabric,,,,,,,,,,
2026-08-baseline,,chatgpt,2c8da0,en,gap,eddy_current_sizing,how do I size an eddy current separator for my throughput,,,,,,,,,,
2026-08-baseline,,perplexity,2c8da0,en,gap,eddy_current_sizing,how do I size an eddy current separator for my throughput,,,,,,,,,,
2026-08-baseline,,gemini,2c8da0,en,gap,eddy_current_sizing,how do I size an eddy current separator for my throughput,,,,,,,,,,
2026-08-baseline,,ai_overview,2c8da0,en,gap,eddy_current_sizing,how do I size an eddy current separator for my throughput,,,,,,,,,,
2026-08-baseline,,chatgpt,6bfb8a,en,verify,heat_seal,why must zippers be sealed ultrasonically rather than by heat,,,,,,,,,,
2026-08-baseline,,perplexity,6bfb8a,en,verify,heat_seal,why must zippers be sealed ultrasonically rather than by heat,,,,,,,,,,
2026-08-baseline,,gemini,6bfb8a,en,verify,heat_seal,why must zippers be sealed ultrasonically rather than by heat,,,,,,,,,,
2026-08-baseline,,ai_overview,6bfb8a,en,verify,heat_seal,why must zippers be sealed ultrasonically rather than by heat,,,,,,,,,,
2026-08-baseline,,chatgpt,905aeb,en,verify,spec_accuracy,what is the maximum production speed of the JL-L-2TZP600,,,,,,,,,,
2026-08-baseline,,perplexity,905aeb,en,verify,spec_accuracy,what is the maximum production speed of the JL-L-2TZP600,,,,,,,,,,
2026-08-baseline,,gemini,905aeb,en,verify,spec_accuracy,what is the maximum production speed of the JL-L-2TZP600,,,,,,,,,,
2026-08-baseline,,ai_overview,905aeb,en,verify,spec_accuracy,what is the maximum production speed of the JL-L-2TZP600,,,,,,,,,,
2026-08-baseline,,chatgpt,030e35,es,verify,bag_formats_es,diferencia entre bolsa de tres sellos laterales y doypack con cierre,,,,,,,,,,
2026-08-baseline,,perplexity,030e35,es,verify,bag_formats_es,diferencia entre bolsa de tres sellos laterales y doypack con cierre,,,,,,,,,,
2026-08-baseline,,gemini,030e35,es,verify,bag_formats_es,diferencia entre bolsa de tres sellos laterales y doypack con cierre,,,,,,,,,,
2026-08-baseline,,ai_overview,030e35,es,verify,bag_formats_es,diferencia entre bolsa de tres sellos laterales y doypack con cierre,,,,,,,,,,
2026-08-baseline,,chatgpt,44db02,en,gap,eddy_current_economics,what is the payback period on an eddy current separator,,,,,,,,,,
2026-08-baseline,,perplexity,44db02,en,gap,eddy_current_economics,what is the payback period on an eddy current separator,,,,,,,,,,
2026-08-baseline,,gemini,44db02,en,gap,eddy_current_economics,what is the payback period on an eddy current separator,,,,,,,,,,
2026-08-baseline,,ai_overview,44db02,en,gap,eddy_current_economics,what is the payback period on an eddy current separator,,,,,,,,,,
2026-08-baseline,,chatgpt,212360,en,verify,bag_formats,3 side seal bag vs stand up zipper pouch which should I choose,,,,,,,,,,
2026-08-baseline,,perplexity,212360,en,verify,bag_formats,3 side seal bag vs stand up zipper pouch which should I choose,,,,,,,,,,
2026-08-baseline,,gemini,212360,en,verify,bag_formats,3 side seal bag vs stand up zipper pouch which should I choose,,,,,,,,,,
2026-08-baseline,,ai_overview,212360,en,verify,bag_formats,3 side seal bag vs stand up zipper pouch which should I choose,,,,,,,,,,
2026-08-baseline,,chatgpt,0941c8,en,verify,eddy_current_principle,how does an eddy current separator work in plastic recycling,,,,,,,,,,
2026-08-baseline,,perplexity,0941c8,en,verify,eddy_current_principle,how does an eddy current separator work in plastic recycling,,,,,,,,,,
2026-08-baseline,,gemini,0941c8,en,verify,eddy_current_principle,how does an eddy current separator work in plastic recycling,,,,,,,,,,
2026-08-baseline,,ai_overview,0941c8,en,verify,eddy_current_principle,how does an eddy current separator work in plastic recycling,,,,,,,,,,
2026-08-baseline,,chatgpt,b188fa,en,verify,recyclable_packaging,what is the difference between mono material PE pouches and laminated film,,,,,,,,,,
2026-08-baseline,,perplexity,b188fa,en,verify,recyclable_packaging,what is the difference between mono material PE pouches and laminated film,,,,,,,,,,
2026-08-baseline,,gemini,b188fa,en,verify,recyclable_packaging,what is the difference between mono material PE pouches and laminated film,,,,,,,,,,
2026-08-baseline,,ai_overview,b188fa,en,verify,recyclable_packaging,what is the difference between mono material PE pouches and laminated film,,,,,,,,,,
2026-08-baseline,,chatgpt,e66e40,en,gap,fibc_operations,how many workers does an FIBC bulk bag production line need,,,,,,,,,,
2026-08-baseline,,perplexity,e66e40,en,gap,fibc_operations,how many workers does an FIBC bulk bag production line need,,,,,,,,,,
2026-08-baseline,,gemini,e66e40,en,gap,fibc_operations,how many workers does an FIBC bulk bag production line need,,,,,,,,,,
2026-08-baseline,,ai_overview,e66e40,en,gap,fibc_operations,how many workers does an FIBC bulk bag production line need,,,,,,,,,,
2026-08-baseline,,chatgpt,c74447,es,verify,eddy_current_principle_es,cómo funciona un separador de corrientes de Foucault en el reciclaje,,,,,,,,,,
2026-08-baseline,,perplexity,c74447,es,verify,eddy_current_principle_es,cómo funciona un separador de corrientes de Foucault en el reciclaje,,,,,,,,,,
2026-08-baseline,,gemini,c74447,es,verify,eddy_current_principle_es,cómo funciona un separador de corrientes de Foucault en el reciclaje,,,,,,,,,,
2026-08-baseline,,ai_overview,c74447,es,verify,eddy_current_principle_es,cómo funciona un separador de corrientes de Foucault en el reciclaje,,,,,,,,,,
